@RELATION B57-S0378_medias
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE f17 REAL
@ATTRIBUTE f18 REAL
@ATTRIBUTE f19 REAL
@ATTRIBUTE f20 REAL
@ATTRIBUTE f21 REAL
@ATTRIBUTE class {L4,L24}
@DATA
0.012945972081367243,0.025,0.4427853600261939,0.011050470469204174,0.025,0.44185552936675215,0.01042241693306789,0.025,0.4414835971029754,0.010986847173891942,0.025,0.44185552936675204,0.01123725064664785,0.025,0.4420414954986404,0.008164695969771688,NaN,0.4399958680478684,0.012803294778495539,0.025,0.4431572922899706,L24
0.011917452697518949,0.025,0.4424831650618754,0.01907660000571717,0.025,0.44666740302936353,0.020522767265596202,0.024999999999999998,0.44771346252123556,0.011670741359518146,0.025,0.4419601353159394,0.017449132177103095,0.025,0.44535982866452356,0.015321147016716833,0.025,0.4445752840456195,0.013147031713705282,NaN,0.44352922455374755,L24
0.007185358252406635,NaN,0.4394159058738438,0.014951615632158514,0.025,0.4442384174295929,0.022473389635461666,0.025,0.44849357468466566,0.013289920496427108,0.025,0.442820031677902,0.014854563147783918,0.025,0.44423841742959297,0.016369230063995006,0.025,0.4445220945799311,0.01753868263596699,0.025,0.4448057717302693,L24
0.013957017843990668,0.025,0.4435292245537474,0.012936508083212507,0.025,0.4432592737171353,0.009936240390271288,NaN,0.4410996670242382,0.012958907504216563,0.025,0.442719372043911,0.013669422580961467,0.025,0.44352922455374744,0.012757731963989442,0.025,0.4429893228805232,0.014903686948671155,0.025,0.4443390770635839,L24
0.01898268806217716,0.025,0.44668098821756963,0.0239989179865523,0.025,0.44907198134184856,0.017955920129705764,0.025,0.4460288991836752,0.016839878528687017,0.025,0.44494208412718494,0.01638521364502321,0.025,0.44494208412718494,0.015327154096446222,NaN,0.44494208412718494,0.01378939228711817,NaN,0.4438552690706946,L24
0.015049383596385985,0.025,0.4443542855614211,0.01680665649136646,0.024999999999999998,0.4443542855614212,0.0112212039203584,0.025,0.4419969683966391,0.014414892506028393,0.025,0.44388282212846475,0.01588457494430638,0.025,0.44435428556142115,0.008913480565728884,0.025,0.44058257809776985,0.013699417552871145,0.025,0.4434113586955084,L24
0.012841615722697753,0.025,0.4430369612634546,0.01638005009297573,0.025,0.44426761948918647,0.017806455460469824,0.025,0.4454982777149183,0.01096921700987179,0.025,0.44180630303772295,0.013856287807202852,0.025,0.443283092908601,0.012463297059111925,0.025,0.4427908296183083,0.013373338839494198,0.025,0.44352922455374744,L24
0.018878712952798516,0.025,0.44645819113098917,0.013361225834855644,0.025,0.44311080075699855,0.013670038069680101,0.025,0.4435292245537473,0.011653642842475114,0.025,0.442273953163501,0.012641906977478832,0.025,0.4429015888586242,0.012923610884329228,0.025,0.44311080075699855,0.016509037611516873,0.025,0.4449937078423683,L24
0.015518389514131507,0.025,0.4445254716888635,0.017492984528105077,0.025,0.44512321996993326,0.014257261230510338,0.025,0.44332997512672406,0.014671170847652085,0.025,0.444126972834817,0.013044901331099201,0.025,0.44332997512672406,0.012103697393000424,0.025,0.44273222684565433,0.013245022949788857,0.025,0.4435292245537474,L24
0.01374012347588439,0.025,0.4436325390714631,0.015338787410576859,0.025,0.4448723132840522,0.0166399684215733,0.025,0.4446656842486207,0.01567807762033562,0.025,0.4444590552131892,0.017139900574882037,0.025,0.4454922003903467,0.013249819744003717,0.025,0.44342591003603166,0.014199109429958934,0.025,0.44383916810689467,L24
0.012580034589304063,0.025,0.44225267737722557,0.01809081795666711,0.025,0.4456568031812837,0.017959568472375842,0.025,0.44622415748196015,0.017242638681765995,0.025,0.44537312603094553,0.02712839507431601,0.025,0.4504793147370329,0.016636849142504347,0.025,0.44508944888060753,0.017976868308611088,0.025,0.4459404803316219,L24
0.010424046742079621,0.025,0.4415092476039255,0.020753454361222775,0.025,0.44756917845339117,0.02153472010774467,0.025,0.4472806103177024,0.016265095634307572,0.025,0.4452606333678806,0.020678672766811578,0.025,0.4469920421820135,0.011787169686912333,NaN,0.44237495201099203,0.011102435164803118,NaN,0.4420863838753033,L24
0.01008714479925506,0.025,0.4414371055700034,0.020294767936295484,0.025,0.44741458838070075,0.01885816267017854,0.025,0.44711571424016594,0.020574450794686294,0.025,0.4471157142401659,0.02184527879440543,0.025,0.4477134625212357,0.019514207589350716,0.025,0.44681684009963096,0.015893572948453175,0.025,0.4450235952564218,L24
0.012665375567568459,0.025,0.4429893228805232,0.0165647548107773,0.025,0.44487897873680815,0.013813220212476067,0.025,0.44352922455374744,0.014141730636832637,0.025,0.4435292245537474,0.012030754139859384,0.025,0.4424494212072988,0.012757731963989442,0.025,0.4429893228805231,0.014759889317156553,0.025,0.44433907706358383,L24
0.011576920563753234,0.025,0.44229453138301333,0.012850088360410425,0.025,0.44298932288052306,0.011355217550822942,0.025,0.44190951953407454,0.014396400405091525,0.025,0.4440691262269717,0.014090289401739014,0.025,0.4435292245537474,0.012850088360410425,0.025,0.4429893228805232,0.009116906169720248,NaN,0.4405597653510139,L24
0.013025040479963652,0.025,0.44279082961830835,0.01417269401617568,0.025,0.4437753561988938,0.011469047976110522,0.025,0.44205243468286926,0.011716257034491858,0.025,0.4422985663280156,0.010637800648871324,0.025,0.4415601713925766,0.01180046433711099,0.025,0.4422985663280156,0.010390591590489986,0.025,0.44131403974743016,L24
